day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,2017,2,23,02/23/2017,44,41.7,1012.7,5.2,8.2,14,999.9,48.9,37,0,999.9,1,581
7,2016,2,21,02/21/2016,46.8,38.5,1010.7,8.4,11.2,14,999.9,54,39,0,999.9,0,481
5,2014,2,7,02/07/2014,28.1,15.7,1023.2,10,9,14,19,32,24.1,0,999.9,0,675
4,2013,2,7,02/07/2013,29.4,13.4,1028.7,10,10.2,14,19,35.1,25,0,999.9,0,526
6,2013,2,23,02/23/2013,36.3,29.8,1022.9,9.7,7,15,999.9,41,30.9,0,999.9,0,521
6,2018,2,10,02/10/2018,41.6,39,1028.8,9,11.3,15,999.9,48,21.9,0,999.9,0,549
1,2014,2,3,02/03/2014,36.5,33.6,1018.2,5.3,9.1,15,18.1,45,32,0.06,999.9,1,960
3,2013,2,13,02/13/2013,36.1,25.2,1010.6,10,7.7,15,999.9,41,26.1,0,999.9,0,570
7,2014,2,2,02/02/2014,39.3,37.2,1016.5,5.5,8.7,15,20,45,30.9,0.1,999.9,1,417
2,2014,2,11,02/11/2014,24,6.4,1023.8,10,9.2,15,18.1,32,19.9,0,999.9,0,636
1,2018,2,26,02/26/2018,42.1,40.1,1016.7,6.5,10.7,15,999.9,46.9,39,0.72,999.9,1,557
4,2018,2,15,02/15/2018,40.8,40.8,1013.7,2.2,9.7,15,999.9,44.1,30.9,0.35,999.9,1,645
